Commuter,Casual,Tourist/Visitor,Concession/Student,hour,event
0.40105656,0.31878042,0.123952374,0.15621062,14.5,False
0.39883548,0.32474875,0.12103014,0.1553856,15.0,False
0.39655998,0.33071232,0.11817474,0.1545529,15.0,False
0.39423758,0.33665687,0.11539058,0.15371506,15.0,False
0.39187583,0.3425679,0.11268152,0.15287466,15.5,False
0.38948315,0.34843105,0.11005122,0.1520346,15.5,False
0.38706782,0.35423177,0.107502766,0.15119767,15.5,False
0.38463858,0.35995558,0.105039,0.15036686,16.0,False
0.3822042,0.36558828,0.1026623,0.14954516,16.0,False
0.37977383,0.3711157,0.10037482,0.14873567,16.0,False
0.3773563,0.3765241,0.09817821,0.14794143,16.5,False
0.37496066,0.3817998,0.09607399,0.14716546,16.5,False
0.37259597,0.38692972,0.09406332,0.14641094,16.5,False
0.37030756,0.39187354,0.09214822,0.14567058,17.0,False
0.36970016,0.3960604,0.09013851,0.14410089,17.0,False
0.36967236,0.3999372,0.08814192,0.14224857,17.0,False
0.36975113,0.4035882,0.08624345,0.14041723,17.5,False
0.36994073,0.40700448,0.084443115,0.13861169,17.5,False
0.37024525,0.41017744,0.08274073,0.13683656,17.5,False
0.37066847,0.41309956,0.081135884,0.13509597,18.0,False
0.371214,0.41576394,0.07962806,0.133394,18.0,False
0.371885,0.4181644,0.07821652,0.1317341,18.0,False
0.3726844,0.42029554,0.07690048,0.1301196,18.5,False
0.3743275,0.4218083,0.07562193,0.12824221,18.5,False
0.37615138,0.42301247,0.07443406,0.12640202,18.5,False
0.3781373,0.42391473,0.073337376,0.124610625,19.0,False
0.38028556,0.4245133,0.07233069,0.12287051,19.0,False
0.382596,0.4248072,0.07141291,0.121183954,19.0,False
0.38540742,0.42457163,0.07057572,0.11944533,19.5,False
0.38844767,0.4239843,0.069823235,0.11774476,19.5,False
0.39164236,0.4230952,0.069155775,0.1161066,19.5,False
0.3956034,0.421287,0.068662174,0.11444736,20.0,False
0.3999349,0.4189333,0.06829757,0.11283418,20.0,False
0.40438995,0.4163102,0.068009906,0.111290015,20.0,False
0.40896076,0.4134257,0.06779843,0.10981497,20.5,False
0.4136394,0.410289,0.06766249,0.108409084,20.5,False
0.4184167,0.40690958,0.0676015,0.10707218,20.5,False
0.42328322,0.4032978,0.06761499,0.105804004,21.0,False
0.42822856,0.39946464,0.06770252,0.104604214,21.0,False
0.4332419,0.39542186,0.06786382,0.10347245,21.0,False
0.43831173,0.39118144,0.06809864,0.10240819,21.5,False
0.44342595,0.38675624,0.068406865,0.101410985,21.5,False
0.44857207,0.3821593,0.06878846,0.100480296,21.5,False
0.45373675,0.3774042,0.069243446,0.099615574,22.0,False
0.4587992,0.37278777,0.069705136,0.09870785,22.0,False
0.4637364,0.36834633,0.070165806,0.09775156,22.0,False
0.46864203,0.36380577,0.0706912,0.096861,22.5,False
0.4735136,0.3591611,0.07128793,0.096037306,22.5,False
0.47833806,0.3544253,0.07195638,0.09528021,22.5,False
0.4832178,0.34950906,0.07269898,0.0945742,23.0,False
0.47318155,0.19446586,0.18141778,0.15093482,8.0,False
0.47015643,0.19456726,0.18274634,0.15252995,8.0,False
0.46707946,0.19487253,0.18392318,0.15412487,8.0,False
0.46395135,0.19527726,0.18501171,0.1557597,8.5,False
0.4608921,0.19560975,0.18611914,0.15737894,8.5,False
0.45793456,0.19583066,0.18726863,0.15896621,8.5,False
0.45471698,0.19674152,0.18784954,0.16069193,9.0,False
0.45145714,0.19778538,0.18830267,0.16245493,9.0,False
0.44816092,0.19896157,0.18862557,0.164252,9.0,False
0.4448342,0.20026952,0.18881635,0.16607988,9.5,False
0.44148287,0.20170856,0.18887363,0.16793503,9.5,False
0.43936017,0.20317149,0.18841647,0.16905186,9.5,False
0.43796223,0.20470488,0.1876072,0.16972569,10.0,False
0.43648636,0.20637704,0.18669404,0.17044252,10.0,False
0.4349336,0.2081867,0.18567918,0.17120048,10.0,False
0.433305,0.21013239,0.18456508,0.17199758,10.5,False
0.43160155,0.21221244,0.18335444,0.17283158,10.5,False
0.4298245,0.21442494,0.18205029,0.17370021,10.5,False
0.42797515,0.21676783,0.18065591,0.17460106,11.0,False
0.42605492,0.21923868,0.17917487,0.17553158,11.0,False
0.42406523,0.22183487,0.17761089,0.17648906,11.0,False
0.4220078,0.22455345,0.17596804,0.17747073,11.5,False
0.4198845,0.22739124,0.1742505,0.1784738,11.5,False
0.41769734,0.23034465,0.17246278,0.17949523,11.5,False
0.41561323,0.23326606,0.17066361,0.18045703,12.0,False
0.4137133,0.23632611,0.16874585,0.18121475,12.0,False
0.41176847,0.23952813,0.16675031,0.1819531,12.0,False
0.4106347,0.24283138,0.16442466,0.18210928,12.5,False
0.4095141,0.24638985,0.16194414,0.18215197,12.5,False
0.40831533,0.25006685,0.15942816,0.1821897,12.5,False
0.40703857,0.25385705,0.15688322,0.18222114,13.0,False
0.40568432,0.257755,0.15431567,0.182245,13.0,False
0.40425342,0.26175457,0.15173177,0.18226013,13.0,False
0.40273136,0.2663299,0.1488827,0.18205604,13.5,False
0.40111098,0.27132353,0.14586858,0.18169686,13.5,False
0.39940104,0.2764208,0.14286247,0.18131572,13.5,False
0.3976038,0.28161246,0.13987121,0.18091255,14.0,False
0.39572233,0.28688878,0.13690147,0.18048747,14.0,False
0.39375997,0.29223973,0.13395947,0.1800408,14.0,False
0.39172092,0.2976545,0.1310514,0.17957321,14.5,False
0.38960972,0.303122,0.12818286,0.17908543,14.5,False
0.3874315,0.30863062,0.1253593,0.17857853,14.5,False
0.38519192,0.31416845,0.12258585,0.17805377,15.0,False
0.38289705,0.3197232,0.1198672,0.17751259,15.0,False
0.38055336,0.32528222,0.11720776,0.17695665,15.0,False
0.37816775,0.33083287,0.11461157,0.17638779,15.5,False
0.37574747,0.33636203,0.11208239,0.1758081,15.5,False
0.37329137,0.3418701,0.10962106,0.17521755,15.5,False
0.37081456,0.3473323,0.10723283,0.17462026,16.0,False
0.36832702,0.35273278,0.10492096,0.17401925,16.0,False
0.36583683,0.35805812,0.102687865,0.17341712,16.0,False
0.3633423,0.3633566,0.100518584,0.17278254,16.5,False
0.36084807,0.36862916,0.098412015,0.17211074,16.5,False
0.35837927,0.37376043,0.09639847,0.1714619,16.5,False
0.3559446,0.37873733,0.094478875,0.17083919,17.0,False
0.3538066,0.38348264,0.09263521,0.17007557,17.0,False
0.35187522,0.38796568,0.090896316,0.16926275,17.0,False
0.35205835,0.3916503,0.08909458,0.16719681,17.5,False
0.35232952,0.39512268,0.087384075,0.16516368,17.5,False
0.3526923,0.39837432,0.085765034,0.16316839,17.5,False
0.35325885,0.40125424,0.08427934,0.16120757,18.0,False
0.35445368,0.40333542,0.08300631,0.15920459,18.0,False
0.35596386,0.40515345,0.08178178,0.15710096,18.0,False
0.35815468,0.40663072,0.08055483,0.15465967,18.5,False
0.36072966,0.40765768,0.07941951,0.15219314,18.5,False
0.36382046,0.40810516,0.078386426,0.14968795,18.5,False
0.3670593,0.40824792,0.07744157,0.14725123,19.0,False
0.37080592,0.4078661,0.076577984,0.14474998,19.0,False
0.3747499,0.4071451,0.07579897,0.14230607,19.0,False
0.37883246,0.4061209,0.07510443,0.1399423,19.5,False
0.38304883,0.4047974,0.074493416,0.13766035,19.5,False
