start,date,station_id,time,Commuter,Casual,Tourist/Visitor,Concession/Student
5660,2023-05-27,158,15:20:00,16.026594161987305,63.033348083496094,12.420988082885742,8.51906681060791
5661,2023-05-27,167,15:30:00,27.305301666259766,31.729564666748047,12.768068313598633,28.19706916809082
5662,2023-05-27,65,15:40:00,17.829845428466797,44.04887390136719,27.75140380859375,10.36987590789795
5663,2023-05-27,65,15:50:00,15.976371765136719,46.97592544555664,27.25409698486328,9.793603897094727
5664,2023-05-27,37,16:00:00,27.235342025756836,51.121585845947266,8.796557426452637,12.846514701843262
5665,2023-05-27,148,16:10:00,14.715253829956055,46.28752136230469,31.14133644104004,7.855893135070801
5666,2023-05-27,170,16:20:00,33.257869720458984,36.015953063964844,10.145346641540527,20.580833435058594
5667,2023-05-27,177,16:30:00,22.689603805541992,53.759830474853516,12.112435340881348,11.438135147094727
5668,2023-05-27,170,16:40:00,31.61606216430664,37.352684020996094,12.978448867797852,18.05280303955078
5669,2023-05-27,53,16:50:00,23.750041961669922,56.99735641479492,9.296396255493164,9.956207275390625
5670,2023-05-27,37,17:00:00,25.185165405273438,53.44822311401367,9.1849365234375,12.181670188903809
5671,2023-05-27,177,17:10:00,27.089248657226562,51.45254898071289,11.038761138916016,10.419434547424316
5672,2023-05-27,28,17:20:00,21.05508041381836,53.47737121582031,15.263948440551758,10.20360279083252
5673,2023-05-27,28,17:30:00,20.97480010986328,55.0026969909668,13.899421691894531,10.123085021972656
5674,2023-05-27,56,17:40:00,28.14267921447754,45.1699333190918,10.394804954528809,16.292587280273438
5675,2023-05-27,31,17:50:00,22.232982635498047,54.306495666503906,12.771540641784668,10.688982009887695
5676,2023-05-27,177,18:00:00,28.39400291442871,49.54970169067383,8.965561866760254,13.090729713439941
5677,2023-05-27,37,18:10:00,23.755887985229492,56.30303192138672,9.398841857910156,10.542240142822266
5678,2023-05-27,177,18:20:00,30.49675941467285,46.820133209228516,10.612255096435547,12.07086181640625
5679,2023-05-27,176,18:30:00,25.09046173095703,52.593292236328125,10.350669860839844,11.96557903289795
5680,2023-05-27,37,18:40:00,24.35352325439453,55.421607971191406,9.184232711791992,11.040637016296387
5681,2023-05-27,177,18:50:00,28.56976318359375,51.90213394165039,8.324161529541016,11.203937530517578
5682,2023-05-27,48,19:00:00,24.0198917388916,54.934940338134766,11.221527099609375,9.82364273071289
5683,2023-05-27,52,19:10:00,25.43740463256836,54.78609848022461,10.172240257263184,9.604256629943848
5684,2023-05-27,177,19:20:00,26.959335327148438,51.31172561645508,11.259784698486328,10.469152450561523
5685,2023-05-27,48,19:30:00,22.894149780273438,56.58544158935547,10.733600616455078,9.7868070602417
5686,2023-05-27,177,19:40:00,25.343223571777344,51.083980560302734,9.988320350646973,13.584474563598633
5687,2023-05-27,177,19:50:00,25.36229133605957,54.73534393310547,8.998804092407227,10.903560638427734
5688,2023-05-27,150,20:00:00,15.736258506774902,64.65031433105469,9.596709251403809,10.016717910766602
5689,2023-05-27,177,20:10:00,28.401357650756836,48.611488342285156,9.707011222839355,13.280144691467285
5690,2023-05-27,54,20:20:00,22.294641494750977,57.771846771240234,10.327454566955566,9.606057167053223
5691,2023-05-27,48,20:30:00,22.08455467224121,57.99921417236328,10.397212028503418,9.519020080566406
