epoch,train_loss,val_loss,lr,grad_norm_max,secs,improved,patience,timestamp,model
1,0.1720846081828023,0.1438189957823072,0.0003,0.5966722965240479,14.0,True,0,2026-07-30T12:55:55,TDAG-Net (persona-split)
2,0.1494896252404202,0.1318875626548306,0.0003,0.5837326049804688,14.3,True,0,2026-07-30T12:56:09,TDAG-Net (persona-split)
3,0.1410799445359261,0.1243010525192533,0.0003,0.4905256032943725,14.7,True,0,2026-07-30T12:56:24,TDAG-Net (persona-split)
4,0.1370805083722858,0.1214805194637277,0.0003,0.563458263874054,15.0,True,0,2026-07-30T12:56:39,TDAG-Net (persona-split)
5,0.1332328814071613,0.1217879164186152,0.0003,0.4325552880764007,15.5,False,1,2026-07-30T12:56:55,TDAG-Net (persona-split)
6,0.131657037793935,0.122471272945404,0.0003,0.449666678905487,15.0,False,2,2026-07-30T12:57:10,TDAG-Net (persona-split)
7,0.1303355715104512,0.1189716248721866,0.0003,0.5719364881515503,14.9,True,0,2026-07-30T12:57:25,TDAG-Net (persona-split)
8,0.1283095579880934,0.1165900552174547,0.0003,0.5501405596733093,14.8,True,0,2026-07-30T12:57:40,TDAG-Net (persona-split)
9,0.1268208001341138,0.1132427802780172,0.0003,0.5118920207023621,14.9,True,0,2026-07-30T12:57:55,TDAG-Net (persona-split)
10,0.1256491951235048,0.1156673209516556,0.0003,0.4889285564422607,14.9,False,1,2026-07-30T12:58:10,TDAG-Net (persona-split)
11,0.1254877266961161,0.1180148584829582,0.0003,0.4964341819286346,9.9,False,2,2026-07-30T13:02:23,TDAG-Net (persona-split)
12,0.1239214496625648,0.1152902779343364,0.0003,0.3266747295856476,14.1,False,3,2026-07-30T13:02:37,TDAG-Net (persona-split)
13,0.1236909791008456,0.1159445963554329,0.0003,0.4405974745750427,14.0,False,4,2026-07-30T13:02:51,TDAG-Net (persona-split)
14,0.1221284548332403,0.1139789652693402,0.0003,0.3747884035110473,14.2,False,5,2026-07-30T13:03:06,TDAG-Net (persona-split)
15,0.1223433316572681,0.1104112783303627,0.0003,0.556614339351654,14.5,True,0,2026-07-30T13:03:20,TDAG-Net (persona-split)
16,0.1210414823103737,0.1082239534992438,0.0003,0.4319327175617218,14.7,True,0,2026-07-30T13:03:35,TDAG-Net (persona-split)
17,0.1201286846464806,0.1086087473309957,0.0003,0.3713993728160858,14.9,False,1,2026-07-30T13:03:50,TDAG-Net (persona-split)
18,0.1206032285814757,0.1094936193018169,0.0003,0.5444158911705017,16.2,False,2,2026-07-30T13:04:07,TDAG-Net (persona-split)
19,0.1197210035972542,0.1073061814838713,0.0003,0.3926661014556885,15.5,True,0,2026-07-30T13:04:22,TDAG-Net (persona-split)
20,0.1184129996614141,0.1062117108440661,0.0003,0.3594025373458862,15.6,True,0,2026-07-30T13:04:38,TDAG-Net (persona-split)
