tod_sin,tod_cos,dow_sin,dow_cos,is_weekend,event_flag,event_countdown,t
0.9914448,-0.13052633,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 06:30:00
0.9848077,-0.1736483,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 06:40:00
0.976296,-0.21643962,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 06:50:00
0.9659258,-0.258819,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 07:00:00
0.95371693,-0.30070576,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 07:10:00
0.9396926,-0.3420201,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 07:20:00
0.9238795,-0.3826835,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 07:30:00
0.90630776,-0.42261833,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 07:40:00
0.8870108,-0.46174866,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 07:50:00
0.8660254,-0.50000006,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 08:00:00
0.8433914,-0.5372997,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 08:10:00
0.819152,-0.5735765,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 08:20:00
0.7933533,-0.6087615,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 08:30:00
0.76604444,-0.64278764,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 08:40:00
0.7372773,-0.6755902,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 08:50:00
0.70710677,-0.70710677,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 09:00:00
0.6755902,-0.7372773,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 09:10:00
0.64278746,-0.76604456,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 09:20:00
0.60876125,-0.79335344,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 09:30:00
0.5735763,-0.8191521,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 09:40:00
0.5372997,-0.8433914,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 09:50:00
0.50000006,-0.8660254,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 10:00:00
0.46174866,-0.8870108,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 10:10:00
0.42261833,-0.90630776,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 10:20:00
0.38268328,-0.9238796,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 10:30:00
0.34202,-0.9396927,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 10:40:00
0.30070564,-0.953717,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 10:50:00
0.2588189,-0.9659259,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 11:00:00
0.21643949,-0.976296,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 11:10:00
0.17364828,-0.9848077,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 11:20:00
0.13052608,-0.9914449,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 11:30:00
0.08715563,-0.9961947,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 11:40:00
0.043619294,-0.99904823,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 11:50:00
-8.742278e-08,-1.0,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 12:00:00
-0.043619227,-0.99904823,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 12:10:00
-0.08715581,-0.9961947,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 12:20:00
-0.13052626,-0.9914448,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 12:30:00
-0.17364846,-0.9848077,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 12:40:00
-0.21643966,-0.976296,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 12:50:00
-0.2588193,-0.96592575,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 13:00:00
-0.30070582,-0.95371693,-0.43388376,-0.90096885,0.0,0.0,1.0,2023-03-03 13:10:00
